,create_age(months),expiry_age(months),update_age(days),URL,Label
727,154,38,691,http://people.revoledu.com/kardi/tutorial/kMean/index.html...,1
4396,69,15,508,http://www.shelburnefallscoffee.com/...,0
214,130,2,372,http://www.keltickat.net/...,0
4021,147,33,80,http://kiltonmotor.com/others/m.i.php?rand=13inboxlightaspxn.177425641...,1
1975,226,14,8,http://secure.square.login-xsey.usa.cc/...,1
4830,240,12,11,http://www.hindustantimes.com/...,0
4499,-1,9,-1,http://cges.ac.in/logo/Google/Google/dld/us/...,1
2781,225,3,247,http://www.sport-it.com/...,0
5168,204,12,25,http://agnix.sourceforge.net/...,0
3477,2,9,66,http://www.stp-anp.net/SHAREDITEM/000000022222222222222222222222222222...,1
5012,-1,-1,-1,http://warnings-system.at.ua/confirm-pages.html...,1
2096,-1,4,-1,http://fcamin.nic.in/...,0
812,234,6,187,http://www.anandabazar.com/...,0
5424,-1,-1,-1,http://www.shikoku.co.jp/eng/...,1
1655,226,14,8,http://secure.square.logindqx.usa.cc/...,1
3388,-1,-1,-1,http://mail.sanabes.org.sa/~masseri/invoice/Ed/Ed/index.php...,1
1869,-1,-1,-1,http://www.bnt-chemicals.de/...,0
4991,167,1,345,http://www.allindianewspapers.com/government.html...,0
3749,90,6,-1,http://www.kpvrb.ru/components/com_auto/views/ells/indexxx.htm...,1
891,16,20,356,http://ejvoice.com/863d7wwwww/casts/...,1
5297,-1,-1,-1,http://www.cnhedge.cn/js/index.htm?http://us.battle.net/login/en/?ref=...,1
6398,148,8,156,http://www.ilc.pl/ep/documents/document/0/9ad0d29931e8511fe5ed46e88080...,1
133,180,0,370,http://www.seagullcooling.com/...,0
1121,262,1,269,http://aktualizace.tripod.com/...,0
3226,-1,-1,-1,http://orchidbooks.com.np/.Confirm/Paypal...,1
2838,55,5,230,http://hofstetterfam.com/Scripts/an/dhl/webshipping_dhl_woko_members_m...,1
5549,104,16,37,http://canada-hoky.890m.com/log.php...,1
5616,142,2,465,http://www.acquiredtastetea.com/...,0
4220,3,9,69,http://kathyhomeyou.com/WellsFargo...,1
5790,-1,-1,-1,http://www.math.wpi.edu/IQP/BVCalcHist/calctoc.html...,1
1422,129,3,332,http://www.rkfma.com/...,0
5751,-1,-1,-1,http://christianphil.com/madrid/france/paris/adam/patrik/...,1
1391,-1,-1,-1,http://www.math.ucla.edu/~tao/254a.1.03w/...,1
4107,256,56,849,http://ross-and-adrians-stadium-guide.webs.com/football.htm...,0
4431,25,11,22,http://autoservicioslubrirepuestos.com/wp-includes/widgets/Alibaba.htm...,1
1864,36,12,11,http://www.elmonkey.com/setl.php...,1
2792,72,12,30,http://alfaromedia.com/wp-content/themes/rfxzetta/zxc/ad2/yahoo/i.php?...,1
3300,-1,5,-1,http://pmindia.gov.in/en/...,0
4915,94,50,291,http://www.floralandweddingsupplies.com/...,0
4632,-1,-1,-1,http://www.osti.gov/estsc/...,1
5135,117,3,253,http://adviseproltd.com/Include/gdoc/a4d8dc05d67daa5ab800cf95b711d0cb/...,1
4690,226,14,8,http://hiroba.dqx.jp.iuxel.usa.cc/...,1
1454,-1,-1,-1,http://webmailupgradecentre.sitey.me...,1
5343,-1,-1,-1,http://hiltonestates.org/...,0
4619,177,3,1045,http://www.academyofdiplomacy.org/...,0
2926,45,3,247,http://antoluxlda.com/Bolu/Weed/image.htm...,1
123,-1,-1,-1,http://www.ibm.com/software/awdtools/hlasm/...,1
6350,3,9,87,http://www.bofaealert.net/bofa/x/8a592f0467a894691798a9f35885ca8a/site...,1
4692,24,24,12,http://kusifood.com/cgi-bin/Config.php...,1
4604,-1,-1,-1,http://188.165.191.2/layouts/update/site/https:/www2.Santander.com.br/...,1
4355,176,4,223,http://www.mbadreams.com/...,0
6115,164,4,252,http://free-compilers.sharnoff.org/...,0
4427,123,9,479,http://www.thecatlounge.com/...,0
2248,191,25,955,http://www.kidsolr.com/math/math.html...,0
1786,55,5,214,http://www.edinburghbibliographicalsociety.org.uk/...,1
3098,104,16,37,http://puasa22.890m.com/privation1.php...,1
6981,17,7,59,http://gaspra-life.com/administrator/manifests/libraries/secure.itunes...,1
5113,211,5,29,http://www.job-hunt.org/...,0
2711,-1,-1,-1,http://www-ccs.cs.umass.edu/db/organizations.html...,1
1084,217,11,375,http://www.jobsdb.com/...,0
2354,156,1,1,http://www.oldradiodoc.com/...,0
3403,3,9,57,http://www.salintoshourt.com/wp-well/...,1
6353,-1,-1,-1,http://www.google.org/...,0
4780,169,11,21,http://www.bodyscentsations.com/...,0
3446,-1,-1,-1,http://ventlogos.com.br/document/98f5ec52af75f2a808fc510d3bc451a6/...,1
149,-1,-1,-1,http://qualyprintbh.com.br/formulario/...,1
2323,36,12,8,http://www.leighgphotography.com/SERVICE/edani82ldbuizbt4gbugw2i3ls22p...,1
2811,-1,-1,-1,http://www.nichuizen.co.za/errors/sess/6d9a839834ab156eac5c247efbc5af2...,1
6575,-1,-1,-1,http://www.aeraria.cl/DoroWebo/ourtime.html...,1
5326,149,19,753,http://m24.telemedellin.tv/aa...,0
3064,156,0,138,http://eccb.net/...,0
1955,7,5,74,http://www.rahimfabricators.com//fonts/AOL_Mail.htm...,1
3096,260,4,242,http://www.pontiac.com/...,0
467,-1,12,-1,http://www.usief.org.in/...,0
183,187,77,245,http://en.wikipedia.org/wiki/ICC_Cricket_Code_of_Conduct...,0
1417,28,8,143,http://www.razeconsulting.com/sites/kenaa/Confirmation/security/webscr...,1
3642,115,77,68,http://sctry21.5gbfree.com/supportcenter/...,1
1315,-1,-1,-1,http://ssl.verification.account.update.security.token.812554542376.ios...,1
5649,-1,-1,-1,http://www.cs.unm.edu/~mccune/papers/robbins/...,0
6227,-1,4,-1,http://results.nic.in/...,0
5162,-1,-1,-1,http://wsce01-bagaliciahome-com-ar.iiioargs.com/arg/on/.scripts/homeba...,1
6215,-1,-1,-1,http://www.futurebusinessexpo.com.au/blogger/Secured/...,1
2061,17,7,166,http://slavkomrdalj.com/images/page...,1
2135,192,11,46,http://www.farmsolution.blogspot.com/...,0
5578,-1,-1,-1,http://www.americanelectric.com.br/LESS/docsexe/filewords/...,1
1316,-1,-1,-1,http://normenpropiedades.cl/cotizacion/wp-admin/trep1/db/box...,1
3660,-1,-1,-1,http://trueaussielocal.com.au/secur.loginsupin/b9785326c31d4d9abead8e9...,1
2560,-1,-1,-1,http://www.bluestonesmb.co.za/js/theme2/theme...,1
3069,191,49,327,http://www.coffeemaria.com/...,0
280,142,2,306,http://www.vucadd.com/...,0
5275,213,39,628,http://www.anettes.com/...,0
3188,209,60,13,http://www.careerlaunchresumes.com/...,0
6882,-1,-1,-1,http://kus.sollers-distribution.pl/doc20161/index.php...,1
5590,206,10,56,http://artilect.org/...,0
4190,193,11,467,http://www.aaasoftware-ezine.com/...,0
1367,127,41,1865,http://www.shobiziems.com/doctopdf/sess/...,1
306,-1,-1,-1,http://myliverpoolfc.org/...,0
6611,163,17,61,http://www.freshcleanday.com/...,0
5298,229,11,31,http://1501broadway.com/...,0
113,7,5,198,http://www.emalbosaat.com/system/logs/aol/...,1
6826,85,11,21,http://www.cicla.org/ltunesconnect/apple.id/update/customer/service/lo...,1
6455,133,11,403,http://citymancs.com/...,0
2195,36,12,10,http://chanderarora.com/hahalas/draft/index.htm...,1
1403,202,26,326,http://www.grandstandsports.com/...,0
5537,2,-1,75,http://agricole-service.fr/particuliers/security/g2e36g_information/up...,1
3133,-1,-1,-1,http://evangelistaadvogados.com.br/newdrop/deiswe/dpbx...,1
1295,5,19,165,http://compasschildrenscharity.org.uk/wp-admin/images/login.alibaba.co...,1
9,160,8,891,http://www.dlcomp.com/images/Fine/DpBoxtbtrich/dropbox/index.php...,1
5146,184,20,143,http://www.vectorkids.com/...,0
6902,278,82,443,http://www.reuters.com/...,0
5729,250,14,479,http://www.net-temps.com/...,0
374,-1,-1,-1,http://semicond.ysu.am/kd/...,1
2737,-1,-1,-1,http://examallindia.com/usaafixedkossowafriend/...,1
2262,124,8,108,http://muftela.com/alibaba/index.php?email=abuse@aliyun.co&amp;.rand=1...,1
1219,-1,-1,-1,http://math.sun.ac.za/~prodinger/...,0
121,-1,-1,-1,http://diarplast.com.ar/assets/frontend/onepage/img/nD/index.php...,1
1609,226,14,8,http://secure.square.login-zxey.usa.cc/account/app/svc/login.html...,1
4000,228,0,364,http://www.press-enterprise.com/nie/...,0
5089,241,35,2242,http://www.dough-to-go.com/...,0
3603,168,0,182,http://paradiseroasters.com/...,0
4923,37,59,36,http://hotelabhashree.com/img/icon.png/8b79d7cbfe815fdaa67122cd3e5c3d3...,1
3589,78,6,776,http://www.hydroservis.pl/administrator/gdoc/4f42bdd5b786bbfdaed19b409...,1
1136,224,4,171,http://www.djnewswires.com/...,0
3713,94,2,-1,http://navigat-service.ru/CIBCOnline%20olbtxn%20Authentication%20SignO...,1
2572,54,54,206,http://www.woodpilebbq.com/...,0
6209,257,7,190,http://www.topix.com/business...,0
1661,177,51,483,http://www.rudralife.com/...,0
2273,-1,-1,-1,http://www.bbc.co.uk/sport/football/teams/manchester-united...,1
4753,58,14,-1,http://servicepaypal-co.myjino.ru/payuk/fd42cc34a1c4b7a02a7cb4dbe6a0f0...,1
13,2,10,67,http://integratedhost.com/update/gmail/login.php?l=_JeHFUq_VJOXK0QWHto...,1
2571,256,20,445,http://www.kiplinger.com/...,0
4261,204,6,194,http://www.perfumedistributor.com/...,0
1824,200,4,241,http://www.costablancacup.com/...,0
3760,3,9,3,http://www.fasonery.net/office11/...,1
5864,37,11,23,http://prodep.org/server/orgg/bidtx/...,1
3517,-1,4,-1,http://indiaimage.nic.in/...,0
3385,179,13,333,http://consc.net/misc/clerihews.html...,0
3130,-1,-1,-1,http://imzabilgisayar.com.tr/wp-content/themes/imza/design/1c724669d7c...,1
928,233,55,1818,http://www.boppy.com/...,0
2104,-1,-1,-1,http://paypal.com.update.account.suspend.information.p2837486978290129...,1
6421,204,0,81,http://www.tcbsupply.com/...,0
3236,199,5,251,http://www.cyberiapc.com/...,0
4868,-1,-1,-1,http://www.peaceinstitute.hawaii.edu/...,1
1825,-1,-1,-1,https://www.cparts.portal-ministe.com/-/www.impots.gouv.fr/file/...,1
447,9,15,285,http://gotmilkpharmacy-cc.com/admin/gdoc/es/...,1
4791,228,12,408,http://www.discountwines.com/...,0
570,-1,-1,-1,http://www.lesvosmuseum.gr/...,0
5085,5,7,62,http://www.top10filmy.com/index/74f76897a7b11fd0edd3579e988d477a/dcc54...,1
2390,230,34,723,http://www.bountyhunterwine.com/...,0
2606,222,65,1121,http://www.setindia.com/...,0
6916,40,8,112,http://www.sexarchive.info/...,0
4433,61,11,382,http://www.eastlancsblues.co.uk/...,0
2567,6,6,188,http://update-account-information-pp-case.easyway-jo.com/Update-Your-A...,1
5664,-1,-1,-1,http://homepages.feis.herts.ac.uk/~comqejb/algspec/pr.html...,0
66,-1,-1,-1,http://www.yarracoffee.com.au/...,0
2022,-1,-1,-1,http://www.colorado.edu/MCEN/flowvis/...,1
4020,-1,-1,-1,http://confirmpage50.at.ua/incorrect_email.html...,1
3993,195,9,613,http://www.conferencealerts.com/peace.htm...,0
5470,-1,-1,-1,http://transportesst.com.br/outphp.newlook.gb/...,1
89,-1,-1,-1,http://dekanas.eu/delivery/ussaa/www_usaa_come/inetlogon/servelet_usaa...,1
4156,-1,-1,-1,http://jadwigaorunia.gda.pl/wp-content/upgrade/A/M/A/Z/O/N/...,1
6854,-1,-1,-1,http://www.news.com.au/business/...,1
4966,259,77,353,http://groups.yahoo.com/group/univalg/...,0
1990,-1,-1,-1,http://ezeebookkeeping.com.au/classes/Gdoccc/index.php...,1
4364,5,19,165,http://compasschildrenscharity.org.uk/wp-admin/images/login.alibaba.co...,1
6714,128,4,246,http://www.bumet.net/data/data/data/...,1
2840,164,4,273,http://www.beta-theta.com/Maths.html...,0
2331,134,10,433,http://www.leicester.vitalfootball.co.uk/...,0
2177,226,17,208,http://www.helengrace.com/...,0
2464,12,12,9,http://www.transylvaniaweb.com/wp-content/themes/Divi/.r6/secure/TWpVM...,1
4464,219,21,1237,http://www.asiaasset.com/...,0
3297,-1,-1,-1,http://nuli-toys.co.il/wp-includes/pomo/data/b44f2c68538620607981644f2...,1
1218,13,11,73,http://babyjalaibee.com/wp-content/plugins/cresta-social-share-counter...,1
876,123,9,98,http://www.oldfootballshirts.com/en/teams/l/liverpool/old-liverpool-football-shirts-t10.html...,0
2113,120,96,404,http://texstarpt.com/capitalone360/1828f3018f587120ac5361a9c61e67e5/in...,1
6022,43,5,176,http://www.styleagogotruck.com/pp/041994226cbce9b021bb85345bdea555/ind...,1
4141,-1,-1,-1,http://e-techgroup.com.au/zz10/jcastle/online.htm...,1
4343,232,8,502,http://www.newsnow.co.uk/h/Sport/Football/Premier+League/Leicester+City...,0
2661,237,15,130,http://zoomtv.indiatimes.com/...,0
3469,152,4,256,http://www.zentralblatt-math.org/zbmath/...,0
2720,190,38,1671,http://thevictortrumpercricketboard.yuku.com/...,0
3730,198,30,375,http://www.carnegiecouncil.org/...,0
5444,13,11,30,http://grabislam.com/woe/db/b65b13b0995636f1f831a179c5ee15f4...,1
4903,9,4,112,http://harbiyeacikhava.com/autnumgmail/gmail/connect_i.php...,1
5432,56,4,243,http://godumbusa.com/culipdrixmx27z0/index.php...,1
4339,223,17,271,http://www.walkon.com/...,0
1393,-1,-1,-1,http://costurabrasilmaquinas.com.br/site/media/10.php...,1
2922,218,34,860,http://www.121music.com/...,0
6007,140,16,14,http://www.tallahasseespeechcenter.com/wp-content/uploads/2015/13/payu...,1
6824,194,10,87,http://www.computertim.com/...,0
6119,-1,-1,-1,http://www.meada.pl/ourtime/v3/member.htm...,1
4122,-1,-1,-1,http://www.intuitivaeventos.com.br/mgs/es...,1
3696,-1,-1,-1,http://www.cs.unc.edu/~taylorr/...,0
2089,-1,10,1145,http://iepedrooctavioamado.edu.co/logs/logon.htm...,0
4454,20,4,196,http://bmorrison.hickoryground.com.inews.report/ni/e4bea1e585910da8f8f...,1
6736,45,3,220,http://globepropertyservices.co.uk/components/com_banners/excel/0f062e...,1
5405,27,21,74,http://numeralmarca.com/filewords...,0
653,198,6,195,http://www.ogjexchange.com/...,0
4642,-1,-1,-1,http://verify.security.google-policy.us.equipamentosac.com.br/verifica...,1
5442,35,1,347,http://repair-discovery-management.fulba.com/index.htm...,1
4963,156,12,394,http://www.aidemocracy.org/...,0
346,18,6,191,http://www.phauthuatngucuytin.com/libraries/conejo3/websc-login.php?go...,1
47,107,64,1283,http://www.mathisfunforum.com/...,0
5722,-1,-1,-1,http://ganiinc.co.za/abdominsubommc/drop/wdd...,1
1785,-1,-1,-1,http://privation-use.at.ua/page-welcome.html...,1
233,5,7,62,http://www.top10filmy.com/index/233c2d9b5768b4676472c4fe0a18cc3d/9f18d...,1
6581,71,1,1075,http://www.metrospineandsport.com/img/ells/index.php...,1
1551,-1,-1,-1,http://www.evangelistaadvogados.com.br/site/wp-admin/user/share105pdf/...,1
5119,-1,-1,-1,http://www.klubkids.com.br/dex-2/upgrade/account/dave...,1
357,208,8,71,http://www.mcdonald.org.uk/StegFS/...,0
3376,99,9,16,http://sugardannys.com/...,0
6470,111,9,91,http://gowebtools.com/bobs/5c112fb66892521da01965bc83b93258/...,1
255,226,14,8,http://hiroba.dqx.jp.iouzy.usa.cc/account/app/svc/login.html...,1
3366,221,7,1301,http://www.lotionpuff.com/...,0
6679,-1,2,-1,http://www.iiciftsa.com.mx/arb/3D/f58a5bfb229617d8c4c30fa8ad52e834/...,1
5423,207,117,86,http://www.luentai.com/...,0
1603,139,5,-1,http://luxard.ru/CIBCOnline%20olbtxn%20Authentication%20SignOn%20cibc/...,1
164,191,1,733,http://www.memorialcards.co.uk/...,0
5186,89,7,150,http://northamericaniron.com/Secuirtyservices/SecuirtyServices/eb5f891...,1
1736,3,9,19,http://edu.adminupdate.net/...,1
1660,171,9,99,http://www.ajitjalandhar.com/...,0
468,171,57,110,http://www.highcountrycoffee.com/...,0
5184,190,2,323,http://www.skinanapothecary.com/...,0
4168,-1,-1,-1,http://www.farmafocus.com.br/one/dropbox...,1
1487,17,7,158,http://www.perlabsshipping.com/update-your-account-information/17c1ade...,1
3640,225,27,876,http://www.bibsocamer.org/...,0
1777,-1,-1,-1,http://www3.cs.stonybrook.edu/~algorith/...,0
4365,-1,-1,-1,http://horim-bekesher.co.il/review/nab.com.au/nab.html?https://ib.nab....,1
1790,247,5,564,http://www.wineaccess.com/...,0
6582,4,32,60,http://nukestudio.org/huoxiaodong.org/newdocs/...,1
4542,7,5,187,http://www.travelcaredesk.com/code/GD/...,1
4225,192,23,86,http://ohoriscoffee.com/...,0
4810,12,0,4,http://msxserve.myfcmb.com/dcm/g/connect_i.php...,1
291,191,73,795,http://www.houseparent.net/...,0
6248,-1,-1,-1,http://www.math.harvard.edu/~ctm/courses.html...,0
4782,13,11,109,http://www.skytechslv.com/logs/i/q/...,1
232,-1,-1,-1,http://www.realmadrid.dk/...,0
2928,152,4,171,http://www.normanloveconfections.com/...,0
4072,210,6,174,http://www.delhi-ivf.com/...,0
3143,-1,-1,-1,http://silveirapiresadvogados.com.br/tast/confirm.php?session_id=sdvnw...,1
2006,-1,-1,-1,http://www.visionfeast.com.br/images/_notes/db/box/...,0
3078,123,9,98,http://www.oldfootballshirts.com/en/teams/m/manchester-united/old-manchester-united-football-shirts-t12.html...,0
2607,-1,0,-1,http://www.mclink.it/assoc/isp/fineng.html...,1
5939,-1,-1,-1,http://budowlaneprzeglady.pl/aol/index.htm...,1
4857,149,7,4550,http://sjsmedia.com/wp-content/themes/389dhasjnbmashag3h3jk3/cofirmuk....,1
1242,41,31,471,http://tornillosyrefacciones.com/modules/mod_custom/emailupdate2016/ma...,1
988,224,4,19,http://www.linenhall.com/...,0
2110,12,0,351,http://time4s.pl/hala/USAA_new/...,1
2219,208,51,325,http://www.betsyann.com/...,0
1001,71,1,302,http://caringlylowcarb.com/aol.html...,0
1847,71,1,316,http://vondog.info/system/logs/newp/index.php?rand...,1
22,2,-1,75,http://agricole-service.fr/particuliers/security/g2e36g_information/up...,1
3542,217,11,59,http://www.resumeservice.net/...,0
5883,45,3,-1,http://www.darwinmuseum.ru/...,0
4146,170,82,478,http://www.readingcoffee.com/...,0
1608,-1,-1,-1,http://www.servico24horas.com.br/wp-includes/css/aos/...,0
4281,-1,-1,-1,http://www.toriabeauty.ro/minn/...,1
4370,201,75,473,http://www.robotcafe.com/...,0
1426,3,9,98,http://joseraullopezdaza.com/wp-admin/yahoo/ya.html...,1
6362,213,3,674,http://the-stewardship.org/research/...,0
5945,-1,-1,-1,http://www.yumero.tk/arc/lendin/SMILING/c226abb36c83d18cb7425c810b46bb...,1
34,166,2,700,http://www.physicspost.com/...,0
793,196,8,580,http://www.wonderfulflora.com/...,0
5372,196,68,373,http://sdhawan.com/...,0
3052,1,11,23,http://www.chocolateriewanders.com/...,0
5857,60,0,753,http://www.plainfieldriverdays.com/js/ajax/bobbu/5bbb91180dc0937f999da...,1
3239,120,96,404,http://texstarpt.com/capitalone360/1828f3018f587120ac5361a9c61e67e5...,1
2163,152,4,262,http://www.resume-perfection.com/...,0
985,226,14,8,http://hiroba.dqx.jp.imxsl.usa.cc/...,1
6506,-1,-1,-1,http://error-update.at.ua/incorrect-confirm.html...,1
1627,13,11,68,http://pratyakshahrs.com/old/putt/logo...,1
6101,-1,-1,-1,http://hospitaldeolhosdejau.com.br/wp-content/plugins/Zone1/Zone1/logi...,1
2755,217,11,47,http://www.maharashtradirectory.com/...,0
2310,65,7,11,http://abudhabiadventure.com/.usaa.com.updates/login/index.php...,1
4708,262,1,269,http://yougogirlproducts.tripod.com/...,0
6910,210,6,236,http://www.neilbrown.newcastlefans.com/manutd/manutd.html...,0
5179,196,8,548,http://www.geuz.org/getdp/...,0
2293,-1,-1,-1,http://ganiinc.co.za/abdominsubommc/drop/...,1
3479,-1,-1,-1,http://resolutionservicehelp.gq/...,0
4374,192,11,46,http://educationeagle.blogspot.com/...,0
4385,201,3,283,http://www.emergingfromconflict.org/...,0
15,257,7,118,http://www.ametsoc.org/pubs/books/index.html...,0
1754,-1,-1,-1,http://team-bloking.at.ua/open-blocking.html...,1
3007,55,5,740,http://www.stachadwokat.pl/Appgoogle...,0
6054,-1,-1,-1,http://signin.ebay.de.ws.ebayisapi.dll.signin.usingssl.slbubpkikvixh8w...,1
1035,3,9,3,http://www.fasonery.net/machine17/...,1
3964,-1,-1,-1,http://bigbproductions.com.au/xz/e/Paype...,1
3953,-1,-1,-1,http://www.cardsolutions.eu/administrator/dropbox...,1
3539,169,83,489,http://www.specialtyjava.com/...,0
4974,252,12,9,http://www.globerecords.com/...,0
5544,-1,-1,-1,http://id-compte-messagerie-bouygues.cliente10eece8e43c47eec9b43d45a4c...,1
5473,236,4,270,http://www.puroast.com/...,0
6049,323,13,479,http://scitation.aip.org/content/aip/magazine/physicstoday...,0
4497,222,17,374,http://www.lookfantastic.com/...,0
3332,2,10,66,http://www.nops2sign.com/wp-wellsfargo/login.php...,1
8,210,18,570,http://www.numbertheory.org/ntw/...,0
4741,223,65,232,http://www.insecure.org/sploits_linux.html...,0
2539,-1,-1,-1,http://www.gn-50uma.de/alula/essays/Moree/Moree.en.shtml...,1
547,28,8,129,http://www.gscs.pl/libraries/magway/...,1
4904,46,2,-1,http://telefunk.ru/CIBCOnline%20olbtxn%20Authentication%20SignOn%20cib...,1
4408,250,2,332,http://www.montgomeryinn.com/...,0
469,-1,-1,-1,http://xip7informatica.com.br/wp-includes/ibrowellsup/index.html...,1
2526,129,3,286,http://domowe.com/libraries/legacy/form/field/GmailDoc/...,1
4998,-1,-1,-1,http://ns1.unlimited.com.ng/~hecsms/templates/system/images/U%23.@S%23...,1
506,205,4,249,http://www.reckittbenckiser.com/...,0
4243,173,19,503,http://www.bakedjustforyou.com/...,0
6720,237,3,275,http://allstates-flag.com/.sa/MemberSecuredPage/UserIDFull/ConfirmDeta...,1
6326,13,11,73,http://babyjalaibee.com/wp-content/plugins/cresta-social-share-counter...,1
3950,259,77,353,http://groups.yahoo.com/group/lib-info-society/...,0
4388,5,6,167,http://o-slice.com/ziuyecx/mail.htm?cmd=lob=rbglogon&amp;amp...,1
6803,60,12,363,http://chihuahuainvita.com/AF/wp-includes/js/Alibaba.html...,1
1009,15,9,76,http://www.hamzadates.com/new/sess/0841daccd5fc33e87c2c291eb38ee88e/...,1
922,246,6,970,http://mathworld.wolfram.com/topics/History.html...,0
3005,-1,-1,-1,http://deutschstunde.com.au/usaa.com-inet-ent-logoff-Logoff-detour-sta...,1
2452,-1,-1,-1,http://loginnowhere858askfm.co.vu/FDtUFS5JgDJHGD3dFd/gmail/...,1
5293,3,9,62,http://www.financeexceldocs.com/12kGyr/verification.php...,1
1708,241,11,1313,http://www.fye.com/...,0
366,59,1,352,http://elektro-amper.pl/images/css/195b72f03488d0854e3fa44b32532d6c/...,1
3492,-1,-1,-1,http://www.carameladafestasinfantis.com.br/eTLf4X6txC/dzc...,1
383,-1,4,-1,http://dtc.nic.in/...,0
5229,199,5,221,http://www.stonemountaincoffee.com/...,0
