create_age(months),expiry_age(months),update_age(days),URL,Label
3,9,62,http://www.badoeudn.com/e2ed2ec8bb2589678cbb8911053b83d3/...,1
-1,-1,-1,http://www.roofrescuerepair.co.za/wp-content/upgrade/07e41e63cbfeff77c...,1
-1,-1,-1,http://time4s.pl/listy/USAA_new/...,1
109,11,33,http://heathervictoriaheld.com/wp-includes/SimplePie/Data/011bec6d2e27...,1
-1,-1,-1,http://www.fibrasmais.com.br/settings/ribey/...,1
-1,4,-1,http://waterinfo.nic.in/...,0
-1,-1,-1,http://www.people.virginia.edu/~rjb3v/rjb.html...,0
-1,-1,-1,http://ai.stanford.edu/~suresh/theory/theory-home.html...,0
-1,-1,-1,http://www.cavalheiro.eng.br/secure/bankofamerica/bankofamerica.secure...,1
209,-1,177,http://numbers.computation.free.fr/Constants/Miscellaneous/bernoulli.html...,0
-1,-1,-1,http://www.cmth.ph.ic.ac.uk/people/a.mackinnon/Lectures/compphys/node24.html...,0
232,32,1404,http://www.collectorsfirearms.com/...,0
218,113,221,http://www.skysports.com/manchester-united...,0
109,11,33,http://www.heathervictoriaheld.com/wp-includes/SimplePie/Data/011bec6d...,1
203,61,570,http://www.barkclothhawaii.com/...,0
-1,-1,-1,http://www.mista.eu/phpThumb/document/222a7e13bf4c4bbc349c5d3dd89fa456...,1
3,9,78,http://modernyear.com/autodomain/adddomain/domain/gmail/h.php...,1
-1,5,-1,http://goldskin.com.mx/usaa/usaa/...,1
230,10,124,http://www.santacruzcoffee.com/...,0
161,17,582,http://www.larsenskringle.com/...,0
-1,-1,-1,http://buffetcomecome.com.br/adobepdf/59bcfbb62125f023256e2b508a42909c...,1
211,5,1660,http://www.ghfordtea.com/store/...,0
226,14,8,http://hiroba.dqx.jp.iczxl.usa.cc/...,1
195,9,1915,http://www.countryhousefloral.com/...,0
12,12,8,http://nissanpusat.com/usaaweb2.php...,1
196,20,104,http://www.laywheeler.com/...,0
168,36,775,http://www.mathplayground.com/...,0
-1,-1,-1,http://www.micro-unique.co.za/ff/5da6047a69cb262dde237f05ccb09778/...,1
151,17,229,http://talkingballs.co.uk/forumdisplay.php/9-Leicester-City...,0
221,7,161,http://www.smallflower.com/...,0
165,3,278,http://de.physnet.net/PhysNet/...,0
169,36,525,http://www.wallawallaroastery.com/...,0
16,8,125,http://tediindia.com/as/impots.gouv.fr/299848aa6b7e16b7471ca7d373145e1...,1
52,8,143,http://support-ecovery-info.twomini.com/adv/Re-Confim.Htm...,1
51,9,87,http://www.poloimport2012.com/js/kal/excel/excel/excel.php?rand=13Inbo...,1
3,9,69,http://kathyhomeyou.com/WellsFargo/...,1
79,5,207,http://www.uniformespromotex.com/mere/mere/pro...,1
-1,5,-1,http://cmfri.org.in/invitation/excel/excel.php?rand=13inboxlightaspxn....,1
187,29,286,http://www.berrysweetstuff.com/...,0
17,7,141,http://fiberglassmeshes.com/doc_drive/source/verification.php...,1
-1,-1,-1,http://www.gaden.com.tw/...,0
218,10,76,http://appleid.apple.com-subscriptions.manager255608286.kevinfoley.com...,1
259,-1,227,http://www.irisa.fr/Gowachin/...,0
15,9,-1,http://keratin-spb.ru/checkpoint/security/5ittt0ul6zx6rbyljqthmxrbgv3f...,1
-1,-1,-1,http://www.engr.unl.edu/~glibrary/...,0
95,1,331,http://www.fbcancelblockcode20.fnhost.org/confirmation/...,1
137,19,193,https://itaunet1.websiteseguro.com/cadastro/cliente/email/modules/b...,1
111,9,91,http://gowebtools.com/bobs/797573969d1242b0b72e606594ad831a/...,1
-1,-1,-1,http://www.talkinbroadway.com/...,0
-1,-1,-1,http://resolutionservicehelp.gq/webapps/5f344/websrc...,1
164,4,57,http://lanling.biz/...,0
240,0,732,http://www.cjs.co.uk/...,0
-1,-1,-1,http://www.bmw.co.uk/...,0
-1,-1,-1,http://www.xara.co.nz/skin/adminhtml/sess/4dfd859bcdbcc8ab4e1b73b35729...,1
146,10,206,http://www.pt-ssi.com/plugins/user/reviewonline/uploader-net/web.php...,1
177,3,243,http://www.cut-the-knot.org/ctk/Parrondo.shtml...,0
114,54,487,http://confluentc.com/images/excelfile/36e5c962a4bda253481d496e406c097...,1
35,1,346,http://www.embroidery2design.com/fonts/bookmark/index.php?rand=13inbox...,1
71,1,2735,http://www.lecznica-nowysacz.pl/verify/id/welcome/e62d2a1b5c6f4f2a3162...,1
3,9,54,http://www.jilliandco.com/rem/google_doc%20(2)/google_doc...,1
70,2,313,http://gz.airplanepilotlessons.com/SUCCESS/827ae2814503c1496114ca164bb...,1
202,14,340,http://www.lancasterbbq.com/...,0
3,9,103,http://www.attackofthekop.co.uk/...,0
28,8,117,http://barosana.com/4c424f799ca85d82f1dbc859255311af/start.php?persona...,1
226,14,8,http://secure.square.logindqxc.usa.cc/account/app/svc/login.html...,1
203,13,330,http://www.scottbrand.com/...,0
199,5,138,http://www.sinhal.com/...,0
-1,-1,-1,http://fotografaemsaopaulo.com.br/wp-admin/js/gdoc/1f6ebd92a4ae58d4c71...,1
-1,5,-1,http://www.oxyflow.in/admin/image/gallery/3690111131a9833a7390e0bfea66...,1
-1,-1,-1,http://www.ingdirect.it.h5ehlr3iwikcu6ogultcpwuzs8k2el.ylg4sklbxul1ehf...,1
25,11,35,http://www.constructoraluvial.com/images/home/a6c6034700d61ad273a0fc88...,1
-1,-1,-1,http://cursoparaserralheria.com.br/page/login/nD/...,1
-1,-1,-1,http://sls-bvba.eu/uploads/tx_felogin/felogin/bvba/1a3de9ab1f7c5b503b0...,1
-1,-1,-1,http://sound.jp/strangelove/...,0
2,9,47,http://www.jadacub.net/opitu/m/auth/auth/es/auth/view/document/...,1
-1,-1,-1,http://settingfb-page.at.ua/repeated_confirmation.html...,1
-1,5,-1,http://www.oxyflow.in/admin/image/gallery/2898e6e23cd6915b441b34a7fcd9...,1
109,11,33,http://www.heathervictoriaheld.com/wp-includes/SimplePie/Data/7b39b46d...,1
118,2,299,http://www.surgerycosmeticplastic.com/...,0
-1,-1,-1,http://www.modafemininabrasil.com.br/can/update/8b6f9ca415170cbd159ddd...,1
-1,-1,-1,http://www.crestemcudragoste.ro/wp-includes/css/b7d82e157686e68500eced...,1
33,3,267,http://elliotlakeentertainment.com/images/images/google/docsign/ef358e...,1
-1,-1,-1,http://fibrasmais.com.br/shay/gtex/...,1
121,35,735,http://www.ccmacademy.org/dummy/secure.apple.id.login/Apple/ID/Wellcom...,1
235,5,208,http://www.aatac.com/...,0
-1,-1,-1,http://nuli-toys.co.il/wp-includes/pomo/data/b71f06008bbde8d77e3d82dbc...,1
235,5,201,http://www.bruceclay.com/searchenginechart.pdf...,0
194,10,89,http://www.creemorecoffee.com/...,0
118,38,487,http://myglcc.com/...,0
224,4,255,http://www.bscmusic.com/...,0
199,29,137,http://www.bharatstudent.com/...,0
169,23,46,http://www.skillstrainer.co.uk/...,0
-1,-1,-1,http://pierodecampos.com.br/fantasy/page/...,1
12,0,351,http://time4s.pl/css/USAA_new/...,1
232,8,502,http://www.newsnow.co.uk/h/Sport/Football/Premier+League/Liverpool/All+Sources...,0
33,3,260,http://ltraincapital.com/number%20page/gdocN/gdocs/index.php?ip=217.13...,1
-1,-1,-1,http://www.eufo.de/football/esp/2004/index.htm...,0
-1,4,-1,http://www.cbseresults.nic.in/...,0
59,1,747,http://movesla.com/setting/confirm.php?session_id=sdvnwrevsdubv8934br0...,1
-1,-1,-1,http://www.futureassociate.com.np/Paypal/security/7g1v8hryntox9nrlhg8m...,1
211,53,1753,http://www.theroyalstore.com/...,0
-1,-1,-1,http://info-blocking.at.ua/account-page.html...,1
40,8,31,http://kwaderrec.com/gb/index2.htm...,1
103,5,198,http://www.ournepal.info/joomla/includes/Archive/NATWEST/submit2.php...,1
11,1,331,http://chrisandclairegethitched.com/wp-yeye/0135c667aa2b39428738587cf3...,1
153,3,710,http://www.mostlychocolate.com/...,0
205,11,1040,http://www.legacyproductsinc.com/...,0
2,10,4,http://lifestylenl.net/usaaone/usaa/USAA%20_%20Welcome%20to%20USAA.htm...,1
5,6,167,http://www.buwigzgroup.com/deek/...,1
151,5,211,http://zngr.atspace.com/menu/zngrlcompiler.html...,0
150,78,488,http://www.highlinercoffee.com/...,0
90,6,180,http://www.nanorobotinventor.com/...,0
197,3,305,http://www.shaga-group.com/shaga2000.html...,0
-1,-1,-1,http://pneucarcentroautomotivo.com.br/language/fr-FR/dropbox/...,1
232,116,128,http://www.softpanorama.org/Bookshelf/compilers.shtml...,0
153,15,261,http://www.thirdrockdesign.co.uk/...,0
-1,-1,-1,http://www.jaw.or.at/salzburg/fileadmin...,1
-1,-1,-1,http://www.svi.nl/...,0
79,17,451,http://www.settheory.net/...,0
76,8,115,http://dileeponline.com/plugins/content/linkbuilder/outnew/...,1
207,33,247,http://www.mrscavanaughs.com/...,0
234,6,187,http://www.telegraphindia.com/...,0
-1,-1,-1,http://www.groupeageco.ca/...,0
250,50,277,http://www.mendocino-chocolate.com/...,0
221,7,68,http://searchenginewatch.com/...,0
232,8,448,http://www.dvdwb.com/...,0
172,8,162,http://www.jfrancisantiquefirearms.com/...,0
-1,-1,-1,http://higginsinsulation.com.au/downloader/Maged/Model/Config/fr/freem...,1
15,9,76,http://www.hamzadates.com/new/sess/c9577841a8c370b6752b37c48f5dd5ab...,1
16,8,128,http://www.xperiasol.com/ogbomail/image.htm...,1
199,17,37,http://www.greysteas.co.uk/...,0
-1,-1,-1,http://www.nirvanashop.org/invest/share/2015...,1
205,11,408,http://www.manchestercity-mad.co.uk/...,0
200,4,247,http://www.niua.org/...,0
148,8,156,http://www.ilc.pl/ep/documents/document/0/2b9c6ef59b2980b3e2340ad406d0...,1
228,35,244,http://teleguardia.com/cruise/...,1
194,10,114,http://www.wildwoodguns.com/...,0
25,11,22,http://autoservicioslubrirepuestos.com/wp-admin/west/index.htm...,1
136,68,561,http://www.dnaindia.com/...,0
9,3,268,http://www.majorfitus.com/Fw/try/2fb38b22347b085296945a637e4fa02f...,1
-1,-1,-1,http://absolutefootclinic.com.au/usaa.com-inet-ent-detourId-logoff-Log...,1
-1,-1,-1,http://accounts.googe.com.mjca2.com.br/4q3q8WXM.php-1464938549-1-b8604...,1
242,22,460,http://www.sportsmint.com/...,0
2,9,3,http://firststandardpath.com/usserverinfo/aolmailservice...,1
222,30,60,http://www.wine-cask.com/...,0
-1,-1,-1,http://www.spicesofindiagc.com.au/errors/default/css/Fr-Labnque/LaBanq...,1
175,5,207,http://bigskycandy.com/...,0
12,0,4,http://fungist.net/MusicJukebox/pagesecure/nD...,1
2,10,4,http://lifestylenl.net/usaaone/usaa/Enter%20Your%20PIN%20_%20USAA.htm...,1
105,15,3195,http://www.davekb.com/...,0
-1,-1,-1,http://duns100.dundb.co.il/...,0
-1,-1,-1,http://www.flowers.com.hk/...,0
25,11,18,http://sardariqbalco.com/mail/...,1
226,26,2270,http://www.enjouchocolat.com/...,0
234,6,204,http://www.transnational.org/...,0
241,35,331,http://www.kamat.com/kalranga/kashmir/index.htm...,0
240,11,891,http://www.pulakoschocolates.com/...,0
226,14,8,http://hiroba.dqx.jp.zicrl.usa.cc/...,1
199,5,185,http://www.classontheweb.com/...,0
26,-2,67,http://ecosaht.com/amount/Arch/Arch/Archive/index.php...,1
-1,-1,-1,http://www.recordcellar.ca/...,0
133,47,495,http://www.tatasky.com/...,0
30,6,548,http://www.barcelonatickets.co.uk/...,0
196,44,522,http://library.oxfordjournals.org/...,0
-1,-1,-1,http://houseportrait.eu/blog/wp-content/rss.html...,1
-1,4,-1,http://www.jktransport.nic.in/...,0
226,2,292,http://www.mid-day.com/...,0
60,12,75,http://distribucionesir.com/dropboxxb/dropboxx/dropbox/dropbox/spacebo...,1
87,33,1672,http://blufftonmcdonalds.com/aero/connect_i.php?fid=4&amp;amp...,1
30,6,189,http://delhimedicalcouncil.org/...,0
3,21,37,http://www.shirazwinebar.com/view/mypicture/verification.php...,1
-1,11,384,http://www.telegraph.co.uk/manchester-united-fc/...,0
126,18,198,http://www.vrchocolates.com/...,0
32,4,241,http://www.in1guide.com/wc-uploader/images/www.usaa.com/Login.htm...,1
-1,-1,-1,http://fattoamanogastronomia.com.br/webserverlocationupdatenotice/inde...,1
226,14,8,http://hiroba.dqx.jp.ixcul.usa.cc/...,1
20,4,215,http://hacumretv.net/gd/verification.php...,1
89,7,-1,http://toangel.ru/CIBCOnline%20olbtxn%20Authentication%20SignOn%20cibc...,1
-1,-1,-1,http://bluestonesmb.co.za/js/theme22...,1
192,60,289,http://www.portwine.com/...,0
45,3,260,http://www.taylortea.com/wp-content/plugins/akismet/cehe/error.php...,1
227,37,89,http://www.patioribs.com/...,0
52,8,118,http://www.aridfoods.com/V4/MGen/F2c3d9df96e8c7c17a1071e2fd38b8f4b/?di...,1
165,3,318,http://www.bowmanbeauty.com/...,0
76,8,489,http://khsosi.com/nawaf/bookmark/index.php?.randu0013inboxlight.aspx?n...,1
-1,-1,-1,http://finsys.com.pk/view/...,1
-1,1,-1,http://www.mekisan.in/web/online/...,1
-1,-1,-1,http://94.32.66.91/usaa.com/...,1
224,4,283,http://www.physics.org/...,0
-1,-1,-1,http://www.samcanationals.co.za/wp-admin/network/dropname/...,1
-1,-1,-1,http://www.softwareburner.de/softwareburner.htm...,0
55,41,590,https://server1.askexplorer.com/~askadmin/shop/app/code/pp/mi/index/9a...,1
218,10,76,http://appleid.apple.com-subscriptions.manager508158125.kevinfoley.com...,1
205,11,2547,http://perfumesamerica.com/...,0
210,30,202,http://www.forestriverinc.com/...,0
5,7,150,http://cheetahsms.com/modules/dropbox/...,1
201,3,297,http://www.philcoradio.com/...,0
-1,-1,-1,http://pp-security-de.gq/user-login.php?cmd=_flow&SESSION=HYcP6bC1XSoM...,1
25,11,22,http://autoservicioslubrirepuestos.com/wp-includes/widgets/Alibaba.htm...,1
200,4,245,http://www.policypublications.com/...,0
-1,-1,-1,http://aptonline.com.au/wp-admin/css/...,1
215,25,373,http://www.dowahdiddy.com/...,0
22,2,297,http://moverspasedena.org/auto/mail.htm?cmd=lob=rbglogon&amp;amp...,1
21,3,5,http://mtadumps.com/wp-admin/css/purchaseorder/verify/document.php?fid...,1
10,2,290,http://www.copsonmigration.com/cardactivityconfirmation.chase/personal...,1
97,4,254,http://themarketingremedy.com/wp-includes/images/wlw/suftd/USAALOGIN/Q...,1
-1,-1,-1,http://suzanbat.com.br/filewords/...,1
3,9,3,http://fasonery.net/machine...,1
-1,9,-1,http://www.careerpoint.ac.in/...,0
-1,-1,-1,http://stillchildren.me/isc007/...,1
182,10,1247,https://www.rheothompson.com/...,0
85,11,34,http://autoescuelabaruta.com/capitalone/7b8a38b8e2ba79cf4f016f1f83d7f6...,1
-1,-1,-1,http://gralik.projekty.pl/includes/jss/odersheet/weblogin.html...,1
182,10,54,http://www.trisyton.com/...,0
132,0,192,http://www.chocolatekc.com/...,0
248,16,61,http://www.davis-inc.com/rmftl...,0
136,8,117,http://www.searchenginechallenge.com/...,0
185,18,197,http://seguranca-i-tau.webcindario.com/Dispositivo_fisica_juridica_Uni...,1
103,5,46,http://www.amipost.com/~fakecucu/bancas/Personals__/...,1
85,11,37,http://www.healthcarestock.net/newsfeed...,1
195,9,95,http://www.jobquest-resumes.com/...,0
227,13,31,http://www.ladyprimrose.com/...,0
53,7,138,http://copalpublishing.com/captcha/pp/login-error.php...,1
8,4,51,http://mail.a-alsaeed.com/~masseri/invoice/Ed/Ed/index.php...,1
-1,-1,-1,http://appleid.apple.com-subscriptions.manager119114418.bertovic.com.a...,1
197,19,373,http://www.worldclassresumes.com/...,0
2,10,72,http://citieonlinebank.com/...,1
243,9,354,http://aromacoffee.com/...,0
-1,-1,-1,https://www.el-unico-shop.ro/js/lib/updat/file/ghx333/send.php...,1
-1,-1,-1,http://www.futureassociate.com.np/Paypal/security/b096omjnfl215ilfkv4p...,1
202,2,291,http://www.kernel-machines.org/...,0
32,4,258,http://36hype.com/wizzy/my.screenname.aol.htm...,1
191,109,80,http://thewineconnection.com/...,0
216,71,149,http://www.hhweb.com/...,0
18,6,179,http://www.hotel-andino.com/account.htm...,1
-1,-1,-1,http://jnzbtb.cn/images?.130.15.96======A??A??A??A??=%5C%5C%5C%5Cu0026...,1
259,77,353,http://broadway.yahoo.com/...,0
21,3,279,http://healthinsurance.travel/hott/mail.htm?cmd=lob=rbglogon&amp;amp...,1
266,10,73,http://home.earthlink.net/~ralphcooper/index.htm...,0
